construct,well,production_date,dna_transfection_micrograms,dna_preparation_concentration,positions,,,,
514dot3567,C02,P14-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3575,C03,P14-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3583,C04,P14-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3591,C05,P14-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,C06,P14-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3599,C07,P14-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3607,C08,P14-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3615,C09,P14-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3623,C10,P14-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3631,C11,P14-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
 none,C12,P14-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
 none,D01,P14-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3568,D02,P14-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3576,D03,P14-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3584,D04,P14-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3592,D05,P14-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,D06,P14-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3600,D07,P14-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3608,D08,P14-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3616,D09,P14-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3624,D10,P14-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3632,D11,P14-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
 none,D12,P14-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
 none,E01,P15-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot3569,E02,P15-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3577,E03,P15-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3585,E04,P15-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3593,E05,P15-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,E06,P15-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3601,E07,P15-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3609,E08,P15-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3617,E09,P15-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3625,E10,P15-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3633,E11,P15-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
 none,E12,P15-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
 none,F01,P15-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3570,F02,P15-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3578,F03,P15-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3586,F04,P15-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3594,F05,P15-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,F06,P15-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3602,F07,P15-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3610,F08,P15-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3618,F09,P15-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3626,F10,P15-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3634,F11,P15-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
 none,F12,P15-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
 none,G01,P16-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot3571,G02,P16-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3579,G03,P16-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3587,G04,P16-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3595,G05,P16-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,G06,P16-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3603,G07,P16-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3611,G08,P16-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3619,G09,P16-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3627,G10,P16-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3635,G11,P16-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
 none,G12,P16-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
 none,H01,P16-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3572,H02,P16-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3580,H03,P16-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3588,H04,P16-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3596,H05,P16-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,H06,P16-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3604,H07,P16-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3612,H08,P16-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3620,H09,P16-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3628,H10,P16-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3636,H11,P16-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
 none,H12,P16-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,A01,P17-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot2817,A02,P17-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot2825,A03,P17-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot2833,A04,P17-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot2913,A05,P17-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,A06,P17-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot2921,A07,P17-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot2929,A08,P17-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot2999,A09,P17-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot2937,A10,P17-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot2953,A11,P17-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,A12,P17-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,B01,P17-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot2818,B02,P17-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot2826,B03,P17-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot2834,B04,P17-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot2914,B05,P17-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,B06,P17-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot2922,B07,P17-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot2930,B08,P17-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3000,B09,P17-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot2938,B10,P17-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot2954,B11,P17-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,B12,P17-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,C01,P18-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot2819,C02,P18-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot2827,C03,P18-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot2835,C04,P18-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot2915,C05,P18-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,C06,P18-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot2923,C07,P18-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot2931,C08,P18-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3001,C09,P18-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot2939,C10,P18-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot2955,C11,P18-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,C12,P18-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,D01,P18-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot2820,D02,P18-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot2828,D03,P18-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot2836,D04,P18-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot2916,D05,P18-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,D06,P18-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot2924,D07,P18-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot2932,D08,P18-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3002,D09,P18-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot2940,D10,P18-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot2956,D11,P18-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,D12,P18-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,E01,P19-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot2959,E02,P19-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot2967,E03,P19-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot2975,E04,P19-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot2983,E05,P19-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,E06,P19-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot2991,E07,P19-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot2999,E08,P19-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3007,E09,P19-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3015,E10,P19-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3023,E11,P19-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,E12,P19-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,F01,P19-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot2960,F02,P19-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot2968,F03,P19-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot2976,F04,P19-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot2984,F05,P19-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,F06,P19-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot2992,F07,P19-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3000,F08,P19-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3008,F09,P19-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3016,F10,P19-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3024,F11,P19-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,F12,P19-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,G01,P20-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot2961,G02,P20-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot2969,G03,P20-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot2977,G04,P20-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot2985,G05,P20-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,G06,P20-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot2993,G07,P20-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3001,G08,P20-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3009,G09,P20-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3017,G10,P20-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3025,G11,P20-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,G12,P20-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,H01,P20-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot2962,H02,P20-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot2970,H03,P20-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot2978,H04,P20-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot2986,H05,P20-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,H06,P20-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot2994,H07,P20-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3002,H08,P20-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3010,H09,P20-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3018,H10,P20-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3026,H11,P20-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,H12,P20-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,A01,P21-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot2963,A02,P21-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot2971,A03,P21-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot2979,A04,P21-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot2987,A05,P21-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,A06,P21-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot2995,A07,P21-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3003,A08,P21-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3071,A09,P21-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3011,A10,P21-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3027,A11,P21-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,A12,P21-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,B01,P21-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot2964,B02,P21-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot2972,B03,P21-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot2980,B04,P21-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot2988,B05,P21-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,B06,P21-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot2996,B07,P21-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3004,B08,P21-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3072,B09,P21-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3012,B10,P21-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3028,B11,P21-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,B12,P21-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,C01,P22-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot3029,C02,P22-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3037,C03,P22-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3045,C04,P22-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3053,C05,P22-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,C06,P22-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3061,C07,P22-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3069,C08,P22-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3073,C09,P22-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3077,C10,P22-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3093,C11,P22-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,C12,P22-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,D01,P22-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3030,D02,P22-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3038,D03,P22-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3046,D04,P22-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3054,D05,P22-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,D06,P22-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3062,D07,P22-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3070,D08,P22-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3074,D09,P22-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3078,D10,P22-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3094,D11,P22-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,D12,P22-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,E01,P23-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot3031,E02,P23-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3039,E03,P23-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3047,E04,P23-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3055,E05,P23-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,E06,P23-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3063,E07,P23-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3071,E08,P23-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3079,E09,P23-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3087,E10,P23-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3095,E11,P23-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,E12,P23-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,F01,P23-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3032,F02,P23-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3040,F03,P23-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3048,F04,P23-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3056,F05,P23-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,F06,P23-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3064,F07,P23-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3072,F08,P23-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3080,F09,P23-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3088,F10,P23-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3096,F11,P23-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,F12,P23-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,G01,P24-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot3033,G02,P24-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3041,G03,P24-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3049,G04,P24-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3057,G05,P24-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,G06,P24-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3065,G07,P24-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3073,G08,P24-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3081,G09,P24-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3089,G10,P24-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3097,G11,P24-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,G12,P24-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,H01,P24-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3034,H02,P24-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3042,H03,P24-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3050,H04,P24-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3058,H05,P24-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,H06,P24-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3066,H07,P24-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3074,H08,P24-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3082,H09,P24-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3090,H10,P24-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3098,H11,P24-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,H12,P24-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
,A01,P25-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
,A02,P25-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
,A03,P25-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
,A04,P25-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
,A05,P25-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
,A06,P25-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
,A07,P25-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
,A08,P25-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
,A09,P25-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
,A10,P25-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
,A11,P25-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
,A12,P25-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
,B01,P25-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
,B02,P25-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
,B03,P25-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
,B04,P25-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
,B05,P25-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
,B06,P25-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
,B07,P25-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
,B08,P25-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
,B09,P25-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
,B10,P25-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
,B11,P25-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
,B12,P25-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
,C01,P26-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
,C02,P26-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
,C03,P26-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
,C04,P26-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
,C05,P26-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
,C06,P26-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
,C07,P26-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
,C08,P26-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
,C09,P26-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
,C10,P26-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
,C11,P26-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
,C12,P26-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
,D01,P26-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
,D02,P26-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
,D03,P26-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
,D04,P26-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
,D05,P26-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
,D06,P26-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
,D07,P26-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
,D08,P26-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
,D09,P26-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
,D10,P26-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
,D11,P26-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
,D12,P26-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
,E01,P27-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
,E02,P27-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
,E03,P27-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
,E04,P27-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
,E05,P27-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
,E06,P27-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
,E07,P27-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
,E08,P27-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
,E09,P27-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
